palabras,valor
adeudo,0.018817800903924344
paz,0.018642751313710276
objetivo,0.018223975286506214
enjuiciar,0.01809504839498026
esperar,0.018034973940716965
nieto,0.01795080056558819
públicos,0.017812956086416726
convocar,0.017738339928998086
contrato,0.017476641962726
feminicidios,0.017211793325986286
encuentros,0.01714760284032683
recursos,0.017137323079571654
mandato,0.0169716853716334
matrimonio,0.01668605082513194
cree,0.01654128495639804
acuerdo,0.01619418794312466
resultados,0.015464888997729426
soto,0.01538889413485639
transformación,0.0152662498207072
masacres,0.015163292556782726
imperio,0.01502869213980286
capacitación,0.014976245341498669
económico,0.01483362147390175
impunidad,0.014748329903847293
hidalgo,0.014574619825662615
denuncia,0.014312405768711324
policías,0.014234012150754337
sexenio,0.013886953311146841
fuerzas,0.013773881057816812
armadas,0.013770338504697869
tren,0.013651526470553142
maya,0.013649792451293361
beatriz,0.006683922914853583
entregó,0.006683922914853583
jefe,0.006683922914853583
carta,0.006683922914853583
reitera,0.006683922914853583
monarquía,0.006683922914853583
mexicano,0.006683922914853583
debemos,0.006683922914853583
padecieron,0.006683922914853583
oprobiosas,0.006683922914853583
atrocidades,0.006683922914853583
saquear,0.006683922914853583
bienes,0.006683922914853583
someterlos,0.006683922914853583
previamente,0.006683922914853583
misiva,0.006683922914853583
solicitaba,0.006683922914853583
prestados,0.006683922914853583
borgia,0.006683922914853583
mixteca,0.006683922914853583
b,0.006683922914853583
náhuatl,0.006683922914853583
tolteca,0.006683922914853583
mapas,0.006683922914853583
tenochtitlán,0.006683922914853583
aclara,0.006683922914853583
bergoglio,0.006683922914853583
realiza,0.006683922914853583
obtener,0.006683922914853583
puedan,0.006683922914853583
exponerse,0.006683922914853583
cumplirán,0.006683922914853583
fundación,0.006683922914853583
méxicotenochtitlán,0.006683922914853583
invasión,0.006683922914853583
colonial,0.006683922914853583
bicentenario,0.006683922914853583
independencia,0.006683922914853583
humildad,0.006683922914853583
grandeza,0.006683922914853583
independientemente,0.006683922914853583
debate,0.006683922914853583
costilla,0.006683922914853583
excomulgado,0.006683922914853583
palabras,0.006683922914853583
cura,0.006683922914853583
hereje,0.006683922914853583
exclamó,0.006683922914853583
abrid,0.006683922914853583
