palabras,valor
hechos,0.051821758640583956
forma,0.05138415308009856
historia,0.051324961143624975
públicos,0.051197688760162605
izquierda,0.051049582097209965
popular,0.05054078384519323
grupo,0.0505165792834242
proyecto,0.04993785164003871
pidió,0.04905376911652861
garcía,0.04890904188300192
democracia,0.04807508465043022
integrantes,0.048042404041255364
columnas,0.04600006120548978
publicidad,0.04471480638775459
política,0.04373812893318996
social,0.04357201396046074
gente,0.04280355028825071
horas,0.040631540629390936
hernández,0.04046692132606722
importancia,0.039462326445980876
santo,0.03928857429474774
críticos,0.0388753692218916
domingo,0.0388314892176246
defenderse,0.037524245296043715
cárdenas,0.03737568555709672
dosis,0.03717084119261644
escuela,0.03716426284531021
conferencias,0.03697299398702474
audiencia,0.03624414515632759
confrontación,0.03624304515352669
salvador,0.0361144353849003
atacado,0.03600040382405636
justo,0.03583261537844362
segmento,0.035822992887954375
define,0.03527080440706724
senador,0.03523306637154217
intervengan,0.035006423022430594
discurso,0.03450963854115249
nombre,0.03441260102840062
secundaria,0.03439812536395251
buscar,0.03423498545978932
apellido,0.034220655802340565
asedio,0.03419148800432536
luna,0.0341253476390908
diarios,0.033999256250726875
ataques,0.033851368058583305
adversarios,0.033816089464397896
actos,0.03351309666826668
calderón,0.03319520386650426
mecanismos,0.03270711917662541
asunto,0.03253721730977432
haga,0.03196900973798305
poderes,0.03190163090484625
insultos,0.03186556377055795
palacio,0.031743159107110244
manejo,0.0316173654417378
dea,0.031569182119931004
director,0.03155484700645142
franquicia,0.031453708324199366
válido,0.031268467686974034
narcotráfico,0.031166814761827553
potosí,0.031162892888161615
previo,0.031098552310357547
álvarez,0.03107315491831585
avances,0.03094796606085634
presentación,0.030338929473201572
pri,0.03020646071863732
desplegado,0.03005767876442853
conservadores,0.029998461521118527
estotienequeparar,0.029962593138700613
icaza,0.029946124296203813
narco,0.02978262791451533
censura,0.02977783620138032
agencias,0.029626981896718054
jefe,0.02950253725959966
reglas,0.029375425700910823
fundador,0.029085965130745545
millones,0.0289307284333757
cruz,0.028840825911805798
columnistas,0.028777842705052115
definir,0.02844074999563696
obras,0.02749426791845585
etc,0.027487308225052978
opinión,0.027428276360088866
tribuna,0.02676924065674788
enrique,0.026216689157132364
neutrales,0.02615523661432358
mandatario,0.026004422742175154
aniversario,0.02598023536211553
posición,0.02585005529166656
errores,0.025652555570015872
servido,0.025539740500179178
técnica,0.025516904521313104
periodistas,0.02535327857106117
punto,0.025353000963142507
sexenio,0.02512574998850311
escudo,0.02488704483333237
ecología,0.024716340418153068
grado,0.024709372879546252
injustificados,0.024483250352611882
vista,0.024418211410579954
julio,0.02438474964099099
destacó,0.024344287827760287
corruptos,0.024283210389946845
cartulinas,0.024206257583474108
mantas,0.02410197032729621
ciudadanos,0.024076996863220703
encuentro,0.023913057609577307
heraldo,0.023775880028570864
criticado,0.023747238911240594
emilio,0.02370457916390432
afortunadamente,0.02356986364733964
incluyendo,0.023508745344150806
nivel,0.02336765232868897
comité,0.023336252525477073
casos,0.02328361116109953
diferencia,0.023120189181768436
llamarlos,0.022866541296912186
intimidación,0.022696395325259914
mal,0.02262888899484199
generar,0.022280421339521943
ejército,0.02220905870572631
animosidad,0.022098790417658647
ocupar,0.021985605122358264
vida,0.02196501444034808
intimidar,0.02192087970918204
sofisticado,0.021878180822455958
incapaz,0.021754088211009423
puntos,0.021632638901554105
acusan,0.021575801466315003
umbral,0.021287241464232953
investigar,0.021262061256662607
exige,0.02102992580512454
décadas,0.021011066516645024
pueblo,0.020806855799080502
turno,0.020806740118286624
limpia,0.02068047460847228
fraudes,0.02055890915724798
francisco,0.02053150195057387
apoyo,0.020525899552806783
ejecutivo,0.020317136214227552
sienten,0.020178422714382714
crisis,0.020064888569113877
acaba,0.019618272431929606
genaro,0.019533112710562187
empresa,0.018861412801316035
tinte,0.018796567424929096
descalificar,0.018528352569366937
ejercicio,0.018485817893342558
directamente,0.018439095347303872
extranjeros,0.018319593594667512
funcionarios,0.01828719696575467
sentarse,0.018189434982293813
asuntos,0.017849131366526643
cargo,0.017814372811591723
malos,0.017806415519771975
seguidores,0.017653179011990032
corresponden,0.017626667769197038
jessica,0.017626667769197038
ramírez,0.017472650246711574
partido,0.01739242599345362
autocrítica,0.017242255721587094
periodismo,0.017076304103121102
ataque,0.01704570447433304
vi,0.017043787297127938
culpar,0.017005367435862874
sol,0.01693251030275872
